team,year,conference,elo,fpi,conference_rating
Florida,2008,SEC,2350.0,33.373,10.825
Florida Atlantic,2008,Sun Belt,1301.0,-7.449,-14.25
Florida International,2008,Sun Belt,1212.0,-9.462,-14.25
Florida State,2008,ACC,1789.0,13.956,7.4
Fresno State,2008,Western Athletic,1373.0,-3.901,-9.188888888888888
Georgia,2008,SEC,1794.0,15.214,10.825
Georgia Tech,2008,ACC,1582.0,4.597,7.4
Hawai'i,2008,Western Athletic,1324.0,-7.298,-9.188888888888888
Houston,2008,Conference USA,1627.0,2.607,-4.141666666666667
Illinois,2008,Big Ten,1615.0,6.08,9.972727272727273
Indiana,2008,Big Ten,1107.0,-10.354,9.972727272727273
Iowa,2008,Big Ten,1887.0,15.249,9.972727272727273
Iowa State,2008,Big 12,1226.0,-5.444,14.383333333333333
Kansas,2008,Big 12,1710.0,11.198,14.383333333333333
Kansas State,2008,Big 12,1404.0,0.934,14.383333333333333
Kent State,2008,Mid-American,1220.0,-10.869,-7.007692307692308
Kentucky,2008,SEC,1513.0,1.639,10.825
Louisiana,2008,Sun Belt,1246.0,-7.532,-14.25
Louisiana Monroe,2008,Sun Belt,1113.0,-14.49,-14.25
Louisiana Tech,2008,Western Athletic,1342.0,-7.652,-9.188888888888888
Louisville,2008,Big East,1330.0,-3.781,2.6875
LSU,2008,SEC,1802.0,11.706,10.825
Marshall,2008,Conference USA,1283.0,-7.593,-4.141666666666667
Maryland,2008,ACC,1499.0,2.822,7.4
Memphis,2008,Conference USA,1317.0,-5.817,-4.141666666666667
Miami,2008,ACC,1508.0,7.078,7.4
Miami (OH),2008,Mid-American,1062.0,-14.863,-7.007692307692308
Michigan,2008,Big Ten,1483.0,-0.493,9.972727272727273
Michigan State,2008,Big Ten,1608.0,7.936,9.972727272727273
Middle Tennessee,2008,Sun Belt,1307.0,-7.95,-14.25
Minnesota,2008,Big Ten,1352.0,-0.675,9.972727272727273
Mississippi State,2008,SEC,1293.0,-4.419,10.825
Missouri,2008,Big 12,1883.0,17.585,14.383333333333333
Navy,2008,FBS Independents,1569.0,0.087,-9.775
NC State,2008,ACC,1518.0,1.381,7.4
Nebraska,2008,Big 12,1683.0,8.504,14.383333333333333
Nevada,2008,Western Athletic,1516.0,0.193,-9.188888888888888
New Mexico,2008,Mountain West,1514.0,-2.381,-0.13333333333333333
New Mexico State,2008,Western Athletic,970.0,-18.703,-9.188888888888888
North Carolina,2008,ACC,1587.0,9.373,7.4
Northern Illinois,2008,Mid-American,1392.0,-3.004,-7.007692307692308
North Texas,2008,Sun Belt,803.0,-26.197,-14.25
Northwestern,2008,Big Ten,1562.0,5.648,9.972727272727273
Notre Dame,2008,FBS Independents,1582.0,5.123,-9.775
Ohio,2008,Mid-American,1276.0,-8.99,-7.007692307692308
Ohio State,2008,Big Ten,1994.0,20.778,9.972727272727273
Oklahoma,2008,Big 12,2327.0,29.737,14.383333333333333
Oklahoma State,2008,Big 12,1784.0,14.931,14.383333333333333
Ole Miss,2008,SEC,1839.0,13.864,10.825
Oregon,2008,Pac-10,1948.0,17.737,7.18
Oregon State,2008,Pac-10,1752.0,13.756,7.18
Penn State,2008,Big Ten,2069.0,25.466,9.972727272727273
Pittsburgh,2008,Big East,1691.0,8.707,2.6875
Purdue,2008,Big Ten,1589.0,3.421,9.972727272727273
Rice,2008,Conference USA,1593.0,0.575,-4.141666666666667
Rutgers,2008,Big East,1800.0,8.406,2.6875
San Diego State,2008,Mountain West,1057.0,-15.541,-0.13333333333333333
San José State,2008,Western Athletic,1256.0,-9.836,-9.188888888888888
SMU,2008,Conference USA,1122.0,-17.545,-4.141666666666667
South Carolina,2008,SEC,1575.0,7.21,10.825
Southern Mississippi,2008,Conference USA,1614.0,1.335,-4.141666666666667
South Florida,2008,Big East,1621.0,9.935,2.6875
Stanford,2008,Pac-10,1520.0,5.985,7.18
Syracuse,2008,Big East,1204.0,-9.183,2.6875
TCU,2008,Mountain West,1958.0,17.278,-0.13333333333333333
Temple,2008,Mid-American,1361.0,-3.886,-7.007692307692308
Tennessee,2008,SEC,1629.0,5.957,10.825
Texas,2008,Big 12,2125.0,26.438,14.383333333333333
Texas A&M,2008,Big 12,1350.0,-3.959,14.383333333333333
Texas Tech,2008,Big 12,1911.0,18.865,14.383333333333333
Toledo,2008,Mid-American,1206.0,-11.25,-7.007692307692308
Troy,2008,Sun Belt,1627.0,4.664,-14.25
Tulane,2008,Conference USA,942.0,-17.784,-4.141666666666667
Tulsa,2008,Conference USA,1797.0,8.902,-4.141666666666667
UAB,2008,Conference USA,1152.0,-10.905,-4.141666666666667
UCF,2008,Conference USA,1307.0,-8.102,-4.141666666666667
UCLA,2008,Pac-10,1394.0,-2.773,7.18
UNLV,2008,Mountain West,1220.0,-7.212,-0.13333333333333333
