name,team,conference,year,pick,round,position
Earl Wolff,NC State,ACC,2013,3,5,Safety
Jesse Williams,Alabama,SEC,2013,4,5,Defensive Tackle
Tharold Simon,LSU,SEC,2013,5,5,Cornerback
Montori Hughes,UT Martin,OVC,2013,6,5,Defensive Tackle
Stepfan Taylor,Stanford,Pac-12,2013,7,5,Running Back
Oday Aboushi,Virginia,ACC,2013,8,5,Offensive Guard
Lavar Edwards,LSU,SEC,2013,9,5,Defensive End
Jonathan Meeks,Clemson,ACC,2013,10,5,Safety
Kenny Stills,Oklahoma,Big 12,2013,11,5,Wide Receiver
Steve Williams,California,Pac-12,2013,12,5,Cornerback
Quanterus Smith,Western Kentucky,Sun Belt,2013,13,5,Defensive End
Steven Means,Buffalo,Mid-American,2013,14,5,Outside Linebacker
A.J. Klein,Iowa State,Big 12,2013,15,5,Inside Linebacker
Brandon McGee,Miami,ACC,2013,16,5,Cornerback
Terry Hawthorne,Illinois,Big Ten,2013,17,5,Cornerback
Joseph Randle,Oklahoma State,Big 12,2013,18,5,Running Back
Cooper Taylor,Richmond,CAA,2013,19,5,Safety
Stansly Maponga,TCU,Big 12,2013,20,5,Defensive End
Chris Thompson,Florida State,ACC,2013,21,5,Running Back
Jeff Locke,UCLA,Pac-12,2013,22,5,Punter
Tanner Hawkinson,Kansas,Big 12,2013,23,5,Offensive Tackle
Quinton Dial,Alabama,SEC,2013,24,5,Defensive End
Luke Willson,Rice,Conference USA,2013,25,5,Tight End
Micah Hyde,Iowa,Big Ten,2013,26,5,Cornerback
Zachary Stacy,Vanderbilt,SEC,2013,27,5,Running Back
Tavarres King,Georgia,SEC,2013,28,5,Wide Receiver
Brandon Jenkins,Florida State,ACC,2013,29,5,Outside Linebacker
Jordan Mills,Louisiana Tech,Western Athletic,2013,30,5,Offensive Tackle
Mike Gillislee,Florida,SEC,2013,31,5,Running Back
Sam Martin,Appalachian State,Southern,2013,32,5,Punter
Caleb Sturgis,Florida,SEC,2013,33,5,Place Kicker
Josh Boyd,Mississippi State,SEC,2013,34,5,Defensive Tackle
Ricky Wagner,Wisconsin,Big Ten,2013,35,5,Offensive Tackle
Joshua Evans,Florida,SEC,2013,1,6,Safety
Eric Kush,California (PA),,2013,2,6,Center
Corey Fuller,Virginia Tech,ACC,2013,3,6,Wide Receiver
Nick Kasa,Colorado,Pac-12,2013,4,6,Tight End
Vinston Painter,Virginia Tech,ACC,2013,5,6,Offensive Tackle
Ryan Swope,Texas A&M,SEC,2013,6,6,Wide Receiver
Jamoris Slaughter,Notre Dame,FBS Independents,2013,7,6,Safety
David Quessenberry,San José State,Western Athletic,2013,8,6,Offensive Tackle
Dustin Hopkins,Florida State,ACC,2013,9,6,Place Kicker
William Campbell,Michigan,Big Ten,2013,10,6,Offensive Guard
Tourek Williams,Florida International,Sun Belt,2013,11,6,Defensive End
Nick Moody,Florida State,ACC,2013,12,6,Outside Linebacker
Latavius Murray,UCF,Conference USA,2013,13,6,Running Back
Kenjon Barner,Oregon,Pac-12,2013,14,6,Running Back
Rufus Johnson,Tarleton State,,2013,15,6,Defensive End
Mychal Rivera,Tennessee,SEC,2013,16,6,Tight End
DeVonte Holloman,South Carolina,SEC,2013,17,6,Outside Linebacker
Justin Brown,Penn State,Big Ten,2013,18,6,Wide Receiver
Andre Ellington,Clemson,ACC,2013,19,6,Running Back
Cornelius Washington,Georgia,SEC,2013,20,6,Defensive End
Mike James,Miami,ACC,2013,21,6,Running Back
Rex Burkhead,Nebraska,Big Ten,2013,22,6,Running Back
Bacarri Rambo,Georgia,SEC,2013,23,6,Safety
John Boyett,Oregon,Pac-12,2013,24,6,Safety
Nathan Palmer,Illinois State,MVFC,2013,25,6,Outside Linebacker
Spencer Ware,LSU,SEC,2013,26,6,Running Back
Alan Bonner,Jacksonville State,OVC,2013,27,6,Wide Receiver
Jeff Baca,UCLA,Pac-12,2013,28,6,Offensive Guard
Cobi Hamilton,Arkansas,SEC,2013,29,6,Wide Receiver
Christopher Jones,Bowling Green,Mid-American,2013,30,6,Defensive Tackle
Theo Riddick,Notre Dame,FBS Independents,2013,31,6,Running Back
Kapron Lewis-Moore,Notre Dame,FBS Independents,2013,32,6,Defensive End
Ryan Griffin,Connecticut,Big East,2013,33,6,Tight End
Khalid Wooten,Nevada,Mountain West,2013,34,6,Cornerback
Ryan Jensen,Colorado State-Pueblo,,2013,35,6,Offensive Guard
Braden Wilson,Kansas State,Big 12,2013,36,6,Fullback
Stacy McGee,Oklahoma,Big 12,2013,37,6,Defensive Tackle
Vince Williams,Florida State,ACC,2013,38,6,Inside Linebacker
Mike Catapano,Princeton,Ivy,2013,1,7,Defensive End
Jeremy Harris,New Mexico State,Western Athletic,2013,2,7,Cornerback
Brice Butler,San Diego State,Mountain West,2013,3,7,Wide Receiver
Demetrius McCray,Appalachian State,Southern,2013,4,7,Cornerback
Michael Williams,Alabama,SEC,2013,5,7,Tight End
Joe Kruger,Utah,Pac-12,2013,6,7,Defensive End
Michael Mauti,Penn State,Big Ten,2013,7,7,Inside Linebacker
Travis Bond,North Carolina,ACC,2013,8,7,Offensive Guard
Tommy Bohanon,Wake Forest,ACC,2013,9,7,Fullback
Charles Johnson,Grand Valley State,,2013,10,7,Wide Receiver
Armonty Bryant,East Central,,2013,11,7,Defensive End
Jordan Poyer,Oregon State,Pac-12,2013,12,7,Cornerback
D.C. Jefferson,Rutgers,Big East,2013,13,7,Tight End
Ryan Seymour,Vanderbilt,SEC,2013,14,7,Offensive Guard
Brad Sorensen,Southern Utah,Big Sky,2013,15,7,Quarterback
Chris Gragg,Arkansas,SEC,2013,16,7,Tight End
Nicholas Williams,Samford,Southern,2013,17,7,Defensive Tackle
Kevin Dorsey,Maryland,ACC,2013,18,7,Wide Receiver
Eric Herman,Ohio,Mid-American,2013,19,7,Offensive Guard
Michael Buchanan,Illinois,Big Ten,2013,20,7,Defensive End
Garrett Gilkey,Chadron State,,2013,21,7,Offensive Guard
Jawan Jamison,Rutgers,Big East,2013,22,7,Running Back
Everett Dawkins,Florida State,ACC,2013,23,7,Defensive Tackle
Kerwynn Williams,Utah State,Western Athletic,2013,24,7,Running Back
Ty Powell,Harding,,2013,25,7,Outside Linebacker
Samuel Barrington,South Florida,Big East,2013,26,7,Outside Linebacker
David Bass,Missouri Western,,2013,27,7,Defensive End
Zac Dysert,Miami (OH),Mid-American,2013,28,7,Quarterback
Steve Beauharnais,Rutgers,Big East,2013,29,7,Inside Linebacker
Marquess Wilson,Washington State,Pac-12,2013,30,7,Wide Receiver
B.J. Daniels,South Florida,Big East,2013,31,7,Quarterback
Aaron Mellette,Elon,Southern,2013,32,7,Wide Receiver
David King,Oklahoma,Big 12,2013,33,7,Defensive End
Reid Fragel,Ohio State,Big Ten,2013,34,7,Offensive Tackle
Jared Smith,New Hampshire,CAA,2013,35,7,Defensive Tackle
Michael Bowie,Northeastern State,,2013,36,7,Offensive Tackle
Kemal Ishmael,UCF,Conference USA,2013,37,7,Safety
Zeke Motta,Notre Dame,FBS Independents,2013,38,7,Safety
Brandon Hepburn,Florida A&M,MEAC,2013,39,7,Inside Linebacker
Carter Bykowski,Iowa State,Big 12,2013,40,7,Offensive Tackle
Marc Anthony,California,Pac-12,2013,41,7,Cornerback
Daimion Stafford,Nebraska,Big Ten,2013,42,7,Safety
Sean Renfree,Duke,ACC,2013,43,7,Quarterback
Don Jones,Arkansas State,Sun Belt,2013,44,7,Safety
T.J. Johnson,South Carolina,SEC,2013,45,7,Center
Marcus Cooper,Rutgers,Big East,2013,46,7,Cornerback
Michael Cox,UMass,Mid-American,2013,47,7,Running Back
Justice Cunningham,South Carolina,SEC,2013,48,7,Tight End
Jadeveon Clowney,South Carolina,SEC,2014,1,1,Defensive End
Greg Robinson,Auburn,SEC,2014,2,1,Offensive Tackle
Blake Bortles,UCF,American Athletic,2014,3,1,Quarterback
Sammy Watkins,Clemson,ACC,2014,4,1,Wide Receiver
Khalil Mack,Buffalo,Mid-American,2014,5,1,Outside Linebacker
Jake Matthews,Texas A&M,SEC,2014,6,1,Offensive Tackle
Mike Evans,Texas A&M,SEC,2014,7,1,Wide Receiver
Justin Gilbert,Oklahoma State,Big 12,2014,8,1,Cornerback
Anthony Barr,UCLA,Pac-12,2014,9,1,Outside Linebacker
Eric Ebron,North Carolina,ACC,2014,10,1,Tight End
Taylor Lewan,Michigan,Big Ten,2014,11,1,Offensive Tackle
Odell Beckham Jr.,LSU,SEC,2014,12,1,Wide Receiver
Aaron Donald,Pittsburgh,ACC,2014,13,1,Defensive Tackle
Kyle Fuller,Virginia Tech,ACC,2014,14,1,Cornerback
Ryan Shazier,Ohio State,Big Ten,2014,15,1,Outside Linebacker
Zack Martin,Notre Dame,FBS Independents,2014,16,1,Offensive Tackle
C.J. Mosley,Alabama,SEC,2014,17,1,Inside Linebacker
Calvin Pryor,Louisville,American Athletic,2014,18,1,Safety
Ja'Wuan James,Tennessee,SEC,2014,19,1,Offensive Tackle
Brandin Cooks,Oregon State,Pac-12,2014,20,1,Wide Receiver
Ha Ha Clinton-Dix,Alabama,SEC,2014,21,1,Safety
Johnny Manziel,Texas A&M,SEC,2014,22,1,Quarterback
Dee Ford,Auburn,SEC,2014,23,1,Defensive End
Darqueze Dennard,Michigan State,Big Ten,2014,24,1,Cornerback
Jason Verrett,TCU,Big 12,2014,25,1,Cornerback
Marcus Smith,Louisville,American Athletic,2014,26,1,Defensive End
Deone Bucannon,Washington State,Pac-12,2014,27,1,Safety
Kelvin Benjamin,Florida State,ACC,2014,28,1,Wide Receiver
Dominique Easley,Florida,SEC,2014,29,1,Defensive Tackle
Jimmie Ward,Northern Illinois,Mid-American,2014,30,1,Safety
Bradley Roby,Ohio State,Big Ten,2014,31,1,Cornerback
Teddy Bridgewater,Louisville,American Athletic,2014,32,1,Quarterback
Xavier Su'a-Filo,UCLA,Pac-12,2014,1,2,Offensive Guard
Demarcus Lawrence,Boise State,Mountain West,2014,2,2,Outside Linebacker
Joel Bitonio,Nevada,Mountain West,2014,3,2,Offensive Tackle
Derek Carr,Fresno State,Mountain West,2014,4,2,Quarterback
Ra'Shede Hageman,Minnesota,Big Ten,2014,5,2,Defensive Tackle
Austin Seferian-Jenkins,Washington,Pac-12,2014,6,2,Tight End
Marqise Lee,USC,Pac-12,2014,7,2,Wide Receiver
Kyle Van Noy,BYU,FBS Independents,2014,8,2,Outside Linebacker
Lamarcus Joyner,Florida State,ACC,2014,9,2,Cornerback
Jordan Matthews,Vanderbilt,SEC,2014,10,2,Wide Receiver
Weston Richburg,Colorado State,Mountain West,2014,11,2,Center
Cyrus Kouandjio,Alabama,SEC,2014,12,2,Offensive Tackle
Paul Richardson,Colorado,Pac-12,2014,13,2,Wide Receiver
Stephon Tuitt,Notre Dame,FBS Independents,2014,14,2,Defensive End
Trent Murphy,Stanford,Pac-12,2014,15,2,Outside Linebacker
Timmy Jernigan,Florida State,ACC,2014,16,2,Defensive Tackle
Jace Amaro,Texas Tech,Big 12,2014,17,2,Tight End
Jeremiah Attaochu,Georgia Tech,ACC,2014,18,2,Outside Linebacker
Ego Ferguson,LSU,SEC,2014,19,2,Defensive Tackle
Troy Niklas,Notre Dame,FBS Independents,2014,20,2,Tight End
Davante Adams,Fresno State,Mountain West,2014,21,2,Wide Receiver
Bishop Sankey,Washington,Pac-12,2014,22,2,Running Back
Jeremy Hill,LSU,SEC,2014,23,2,Running Back
Cody Latimer,Indiana,Big Ten,2014,24,2,Wide Receiver
Carlos Hyde,Ohio State,Big Ten,2014,25,2,Running Back
Stan Jean-Baptiste,Nebraska,Big Ten,2014,26,2,Cornerback
Jack Mewhort,Ohio State,Big Ten,2014,27,2,Offensive Tackle
Kony Ealy,Missouri,SEC,2014,28,2,Defensive End
Allen Robinson,Penn State,Big Ten,2014,29,2,Wide Receiver
Jimmy Garoppolo,Eastern Illinois,OVC,2014,30,2,Quarterback
Jarvis Landry,LSU,SEC,2014,31,2,Wide Receiver
Justin Britt,Missouri,SEC,2014,32,2,Offensive Tackle
C.J. Fiedorowicz,Iowa,Big Ten,2014,1,3,Tight End
Morgan Moses,Virginia,ACC,2014,2,3,Offensive Tackle
Billy Turner,North Dakota State,MVFC,2014,3,3,Offensive Tackle
Dez Southward,Wisconsin,Big Ten,2014,4,3,Safety
Charles Sims,West Virginia,Big 12,2014,5,3,Running Back
Marcus Martin,USC,Pac-12,2014,6,3,Center
Chris Kirksey,Iowa,Big Ten,2014,7,3,Outside Linebacker
Scott Crichton,Oregon State,Pac-12,2014,8,3,Defensive End
Preston Brown,Louisville,American Athletic,2014,9,3,Inside Linebacker
Jay Bromley,Syracuse,ACC,2014,10,3,Defensive Tackle
Tre Mason,Auburn,SEC,2014,11,3,Running Back
Travis Swanson,Arkansas,SEC,2014,12,3,Center
Chris Borland,Wisconsin,Big Ten,2014,13,3,Inside Linebacker
Spencer Long,Nebraska,Big Ten,2014,14,3,Offensive Guard
Terrence Brooks,Florida State,ACC,2014,15,3,Safety
Dex McDougle,Maryland,ACC,2014,16,3,Cornerback
Gabe Jackson,Mississippi State,SEC,2014,17,3,Offensive Guard
Will Sutton,Arizona State,Pac-12,2014,18,3,Defensive Tackle
Louis Nix III,Notre Dame,FBS Independents,2014,19,3,Defensive Tackle
Kareem Martin,North Carolina,ACC,2014,20,3,Defensive End
Khyri Thornton,Southern Mississippi,Conference USA,2014,21,3,Defensive Tackle
Josh Huff,Oregon,Pac-12,2014,22,3,Wide Receiver
Phillip Gaines,Rice,Conference USA,2014,23,3,Cornerback
William Clarke,West Virginia,Big 12,2014,24,3,Defensive End
Chris Watt,Notre Dame,FBS Independents,2014,25,3,Offensive Guard
Donte Moncrief,Ole Miss,SEC,2014,26,3,Wide Receiver
John Brown,Pittsburg State,,2014,27,3,Wide Receiver
Trai Turner,LSU,SEC,2014,28,3,Offensive Guard
Brandon Linder,Miami,ACC,2014,29,3,Offensive Guard
Terrance West,Towson,CAA,2014,30,3,Running Back
Michael Schofield,Michigan,Big Ten,2014,31,3,Offensive Tackle
Jerick McKinnon,Georgia Southern,Southern,2014,32,3,Running Back
Dri Archer,Kent State,Mid-American,2014,33,3,Running Back
Richard Rodgers,California,Pac-12,2014,34,3,Tight End
Crockett Gillmore,Colorado State,Mountain West,2014,35,3,Tight End
Brandon Thomas,Clemson,ACC,2014,36,3,Offensive Guard
Jaylen Watkins,Florida,SEC,2014,1,4,Cornerback
Bashaud Breeland,Clemson,ACC,2014,2,4,Cornerback
Devonta Freeman,Florida State,ACC,2014,3,4,Running Back
Jalen Saunders,Oklahoma,Big 12,2014,4,4,Wide Receiver
Bryan Stork,Florida State,ACC,2014,5,4,Center
Bruce Ellington,South Carolina,SEC,2014,6,4,Wide Receiver
Justin Ellis,Louisiana Tech,Conference USA,2014,7,4,Defensive Tackle
Cassius Marsh,UCLA,Pac-12,2014,8,4,Defensive End
Ross Cockrell,Duke,ACC,2014,9,4,Cornerback
Maurice Alexander,Utah State,Mountain West,2014,10,4,Safety
Russell Bodine,North Carolina,ACC,2014,11,4,Center
DaQuan Jones,Penn State,Big Ten,2014,12,4,Defensive Tackle
Andre Williams,Boston College,ACC,2014,13,4,Running Back
Aaron Colvin,Oklahoma,Big 12,2014,14,4,Cornerback
Shaq Evans,UCLA,Pac-12,2014,15,4,Wide Receiver
Keith McGill,Utah,Pac-12,2014,16,4,Cornerback
Ka'Deem Carey,Arizona,Pac-12,2014,17,4,Running Back
Martavis Bryant,Clemson,ACC,2014,18,4,Wide Receiver
Anthony Hitchens,Iowa,Big Ten,2014,19,4,Outside Linebacker
Logan Thomas,Virginia Tech,ACC,2014,20,4,Quarterback
Carl Bradford,Arizona State,Pac-12,2014,21,4,Outside Linebacker
Marqueston Huff,Wyoming,Mountain West,2014,22,4,Cornerback
Kevin Norwood,Alabama,SEC,2014,23,4,Wide Receiver
De'Anthony Thomas,Oregon,Pac-12,2014,24,4,Running Back
Walt Aikens,Liberty,Big South,2014,25,4,Cornerback
Khairi Fortt,California,Pac-12,2014,26,4,Outside Linebacker
Pierre Desir,Lindenwood,,2014,27,4,Cornerback
Tre Boston,North Carolina,ACC,2014,28,4,Safety
Dontae Johnson,NC State,ACC,2014,29,4,Cornerback
James White,Wisconsin,Big Ten,2014,30,4,Running Back
Brock Vereen,Minnesota,Big Ten,2014,31,4,Safety
Kevin Pierre-Louis,Boston College,ACC,2014,32,4,Outside Linebacker
Nevin Lawson,Utah State,Mountain West,2014,33,4,Cornerback
Brent Urban,Virginia,ACC,2014,34,4,Defensive Tackle
Tom Savage,Pittsburgh,ACC,2014,35,4,Quarterback
Larry Webster,Bloomsburg,,2014,36,4,Defensive End
Dakota Dozier,Furman,Southern,2014,37,4,Offensive Tackle
Lorenzo Taliaferro,Coastal Carolina,Big South,2014,38,4,Running Back
Prince Shembo,Notre Dame,FBS Independents,2014,39,4,Outside Linebacker
Cameron Fleming,Stanford,Pac-12,2014,40,4,Offensive Tackle
Taylor Hart,Oregon,Pac-12,2014,1,5,Defensive End
Ryan Grant,Tulane,Conference USA,2014,2,5,Wide Receiver
Kadeem Edwards,Tennessee State,OVC,2014,3,5,Offensive Guard
Telvin Smith,Florida State,ACC,2014,4,5,Outside Linebacker
David Yankey,Stanford,Pac-12,2014,5,5,Offensive Guard
Devin Street,Pittsburgh,ACC,2014,6,5,Wide Receiver
Ricardo Allen,Purdue,Big Ten,2014,7,5,Cornerback
Bene Benwikere,San José State,Mountain West,2014,8,5,Cornerback
Kevin Pamphile,Purdue,Big Ten,2014,9,5,Offensive Tackle
Aaron Lynch,South Florida,American Athletic,2014,10,5,Defensive End
Avery Williamson,Kentucky,SEC,2014,11,5,Inside Linebacker
Nat Berhe,San Diego State,Mountain West,2014,12,5,Safety
Cyril Richardson,Baylor,Big 12,2014,13,5,Offensive Guard
Jeremiah George,Iowa State,Big 12,2014,14,5,Inside Linebacker
Arthur Lynch,Georgia,SEC,2014,15,5,Tight End
Lamin Barrow,LSU,SEC,2014,16,5,Outside Linebacker
Shaquille Richardson,Arizona,Pac-12,2014,17,5,Cornerback
Caraun Reid,Princeton,Ivy,2014,18,5,Defensive Tackle
Chris Smith,Arkansas,SEC,2014,19,5,Defensive End
Ed Stinson,Alabama,SEC,2014,20,5,Defensive End
Corey Linsley,Ohio State,Big Ten,2014,21,5,Center
Ed Reynolds,Stanford,Pac-12,2014,22,5,Safety
Aaron Murray,Georgia,SEC,2014,23,5,Quarterback
AJ McCarron,Alabama,SEC,2014,24,5,Quarterback
Ryan Carrethers,Arkansas State,Sun Belt,2014,25,5,Defensive Tackle
Jonathan Newsome,Ball State,Mid-American,2014,26,5,Defensive End
Vinnie Sunseri,Alabama,SEC,2014,27,5,Safety
Marquis Spruill,Syracuse,ACC,2014,28,5,Outside Linebacker
Ronald Powell,Florida,SEC,2014,29,5,Outside Linebacker
Keith Reaser,Florida Atlantic,Conference USA,2014,30,5,Cornerback
Jordie Tripp,Montana,Big Sky,2014,31,5,Outside Linebacker
Jimmy Staten,Middle Tennessee,Conference USA,2014,32,5,Defensive Tackle
Wesley Johnson,Vanderbilt,SEC,2014,33,5,Center
Devon Kennard,USC,Pac-12,2014,34,5,Outside Linebacker
John Urschel,Penn State,Big Ten,2014,35,5,Offensive Guard
Jared Abbrederis,Wisconsin,Big Ten,2014,36,5,Wide Receiver
Jeoffrey Pagan,Alabama,SEC,2014,1,6,Defensive End
Zach Mettenberger,LSU,SEC,2014,2,6,Quarterback
Jon Halapio,Florida,SEC,2014,3,6,Offensive Guard
Kenneth Acker,SMU,American Athletic,2014,4,6,Cornerback
Alfred Blue,LSU,SEC,2014,5,6,Running Back
Antone Exum,Virginia Tech,ACC,2014,6,6,Cornerback
David Fales,San José State,Mountain West,2014,7,6,Quarterback
Kendall James,Maine,CAA,2014,8,6,Cornerback
Robert Herron,Wyoming,Mountain West,2014,9,6,Wide Receiver
Lache Seastrunk,Baylor,Big 12,2014,10,6,Running Back
Bennett Jackson,Notre Dame,FBS Independents,2014,11,6,Cornerback
E.J. Gaines,Missouri,SEC,2014,12,6,Cornerback
TJ Jones,Notre Dame,FBS Independents,2014,13,6,Wide Receiver
Matt Hazel,Coastal Carolina,Big South,2014,14,6,Wide Receiver
Pat O'Donnell,Miami,ACC,2014,15,6,Punter
Jordan Zumwalt,UCLA,Pac-12,2014,16,6,Outside Linebacker
Zach Fulton,Tennessee,SEC,2014,17,6,Offensive Guard
Keith Wenning,Ball State,Mid-American,2014,18,6,Quarterback
Brandon Dixon,Northwest Missouri State,,2014,19,6,Cornerback
Walt Powell,Murray State,OVC,2014,20,6,Wide Receiver
Demetri Goodson,Baylor,Big 12,2014,21,6,Cornerback
Zach Moore,Concordia-St. Paul,,2014,22,6,Defensive End
Garrett Scott,Marshall,Conference USA,2014,23,6,Offensive Tackle
Laurent Duvernay-Tardif,McGill,,2014,24,6,Offensive Tackle
Marion Grice,Arizona State,Pac-12,2014,25,6,Running Back
Tavon Rooks,Kansas State,Big 12,2014,26,6,Offensive Tackle
Andrew Jackson,Western Kentucky,Sun Belt,2014,27,6,Inside Linebacker
Tyler Gaffney,Stanford,Pac-12,2014,28,6,Running Back
Luke Bowanko,Virginia,ACC,2014,29,6,Center
Jemea Thomas,Georgia Tech,ACC,2014,30,6,Safety
Matt Paradis,Boise State,Mountain West,2014,31,6,Center
Eric Pinkins,San Diego State,Mountain West,2014,32,6,Safety
Quincy Enunwa,Nebraska,Big Ten,2014,33,6,Wide Receiver
IK Enemkpali,Louisiana Tech,Conference USA,2014,34,6,Defensive End
Jay Prosch,Auburn,SEC,2014,35,6,Fullback
Marquis Flowers,Arizona,Pac-12,2014,36,6,Outside Linebacker
Tajh Boyd,Clemson,ACC,2014,37,6,Quarterback
Garrett Gilbert,SMU,American Athletic,2014,38,6,Quarterback
Dan McCullers,Tennessee,SEC,2014,39,6,Defensive Tackle
Dre Hal,Vanderbilt,SEC,2014,1,7,Cornerback
Ted Bolser,Indiana,Big Ten,2014,2,7,Tight End
Michael Campanaro,Wake Forest,ACC,2014,3,7,Wide Receiver
T.J. Carrie,Ohio,Mid-American,2014,4,7,Cornerback
Shamar Stephen,Connecticut,American Athletic,2014,5,7,Defensive Tackle
Randell Johnson,Florida Atlantic,Conference USA,2014,6,7,Outside Linebacker
Storm Johnson,UCF,American Athletic,2014,7,7,Running Back
Brandon Watts,Georgia Tech,ACC,2014,8,7,Outside Linebacker
Beau Allen,Wisconsin,Big Ten,2014,9,7,Defensive Tackle
Jabari Price,North Carolina,ACC,2014,10,7,Cornerback
Mitchell Van Dyk,Portland State,Big Sky,2014,11,7,Offensive Tackle
Kiero Small,Arkansas,SEC,2014,12,7,Fullback
Zach Hocker,Arkansas,SEC,2014,13,7,Place Kicker
Nate Freese,Boston College,ACC,2014,14,7,Place Kicker
Rob Blanchflower,UMass,Mid-American,2014,15,7,Tight End
Ben Gardner,Stanford,Pac-12,2014,16,7,Defensive End
Ulrick John,Birmingham-Southern,,2014,17,7,Offensive Tackle
Trevor Reilly,Utah,Pac-12,2014,18,7,Outside Linebacker
Terrence Fede,Marist,Pioneer,2014,19,7,Defensive End
Shelby Harris,Illinois State,MVFC,2014,20,7,Defensive End
Jeff Janis,Saginaw Valley,,2014,21,7,Wide Receiver
Seantrel Henderson,Miami,ACC,2014,22,7,Offensive Tackle
Will Smith,Texas Tech,Big 12,2014,23,7,Inside Linebacker
James Wright,LSU,SEC,2014,24,7,Wide Receiver
Tevin Reese,Baylor,Big 12,2014,25,7,Wide Receiver
C.B. Bryant,Ohio State,Big Ten,2014,26,7,Safety
Corey Nelson,Oklahoma,Big 12,2014,27,7,Outside Linebacker
Kaleb Ramsey,Boston College,ACC,2014,28,7,Defensive Tackle
Jeremy Gallon,Michigan,Big Ten,2014,29,7,Wide Receiver
Trey Millard,Oklahoma,Big 12,2014,30,7,Fullback
Charles Leno,Boise State,Mountain West,2014,31,7,Offensive Tackle
Jonathan Dowling,Western Kentucky,Sun Belt,2014,32,7,Cornerback
Ahmad Dixon,Baylor,Big 12,2014,33,7,Safety
Michael Sam,Missouri,SEC,2014,34,7,Defensive End
Demetrius Rhaney,Tennessee State,OVC,2014,35,7,Center
Ken Bishop,Northern Illinois,Mid-American,2014,36,7,Defensive Tackle
Lavelle Westbrooks,Georgia Southern,Southern,2014,37,7,Cornerback
Yawin Smallwood,Connecticut,American Athletic,2014,38,7,Inside Linebacker
Terrance Mitchell,Oregon,Pac-12,2014,39,7,Cornerback
Tyler Starr,South Dakota,MVFC,2014,40,7,Outside Linebacker
Lonnie Ballentine,Memphis,American Athletic,2014,41,7,Safety
Jameis Winston,Florida State,ACC,2015,1,1,Quarterback
Marcus Mariota,Oregon,Pac-12,2015,2,1,Quarterback
Dante Fowler Jr.,Florida,SEC,2015,3,1,Defensive End
Amari Cooper,Alabama,SEC,2015,4,1,Wide Receiver
Brandon Scherff,Iowa,Big Ten,2015,5,1,Offensive Tackle
Leonard Williams,USC,Pac-12,2015,6,1,Defensive End
Kevin White,West Virginia,Big 12,2015,7,1,Wide Receiver
Vic Beasley,Clemson,ACC,2015,8,1,Outside Linebacker
Ereck Flowers,Miami,ACC,2015,9,1,Offensive Tackle
Todd Gurley,Georgia,SEC,2015,10,1,Running Back
Trae Waynes,Michigan State,Big Ten,2015,11,1,Cornerback
Danny Shelton,Washington,Pac-12,2015,12,1,Defensive Tackle
Andrus Peat,Stanford,Pac-12,2015,13,1,Offensive Tackle
DeVante Parker,Louisville,ACC,2015,14,1,Wide Receiver
Melvin Gordon,Wisconsin,Big Ten,2015,15,1,Running Back
Kevin Johnson,Wake Forest,ACC,2015,16,1,Cornerback
